00:58:18    8.425     RX 80  POT 0
00:58:18    8.457     RX 35  ECHO '5'
00:58:20    9.573     RX 81  POT 1
00:58:20    9.589     RX 82  POT 2
00:58:20    9.605     RX 83  POT 3
00:58:20    9.621     RX 84  POT 4
00:58:20    9.637     RX 85  POT 5
00:58:20    9.653     RX 35  ECHO '5'
00:58:20    9.653     RX 86  POT 6
00:58:20    9.668     RX 87  POT 7
00:58:20    9.684     RX 88  POT 8
00:58:20    9.700     RX 89  POT 9
00:58:20    9.716     RX 8a  POT 10
00:58:20    9.716     RX 8b  POT 11
00:58:20    9.748     RX 8c  POT 12
00:58:20    9.764     RX 8d  POT 13
00:58:20    9.780     RX 8e  POT 14
00:58:20    9.812     RX 8f  POT 15
00:58:20    9.828     RX 90  POT 16
00:58:20    9.860     RX 91  POT 17
00:58:20    9.908     RX 92  POT 18
00:58:20    9.956     RX 93  POT 19
00:58:21   10.657     RX 94  POT 20
00:58:21   10.768     RX 96  POT 22
00:58:21   10.768     RX 97  POT 23
00:58:21   10.784     RX 98  POT 24
00:58:21   10.816     RX 99  POT 25
00:58:21   10.848     RX 9a  POT 26
00:58:21   10.864     RX 9b  POT 27
00:58:21   10.896     RX 35  ECHO '5'
00:58:21   10.912     RX 9c  POT 28
00:58:21   11.087     RX 9d  POT 29
00:58:21   11.246     RX 9c  POT 28
00:58:21   11.278     RX 9d  POT 29
00:58:21   11.390     RX 9c  POT 28
00:58:22   11.709     RX 53  ECHO 'S'
00:58:22   11.709     RX 9d  POT 29
00:58:22   11.756     RX 9e  POT 30
00:58:22   12.107     RX 20  ECHO ' '
00:58:22   12.187     RX c4  STATUS BUSY
00:58:22   12.187     RX c0  STATUS idle
00:58:22   12.203     RX c6  STATUS BUSY|BREAKIN
00:58:23   13.159     RX 9d  POT 29
00:58:23   13.175     RX 9c  POT 28
00:58:23   13.191     RX 9b  POT 27
00:58:23   13.207     RX 99  POT 25
00:58:23   13.223     RX 98  POT 24
00:58:23   13.239     RX 23  ECHO '#'
00:58:23   13.239     RX 96  POT 22
00:58:23   13.255     RX 95  POT 21
00:58:23   13.271     RX 94  POT 20
00:58:23   13.286     RX 93  POT 19
00:58:23   13.302     RX 92  POT 18
00:58:23   13.318     RX 91  POT 17
00:58:23   13.350     RX 90  POT 16
00:58:23   13.366     RX 8f  POT 15
00:58:24   14.370     RX 42  ECHO 'B'
00:58:25   15.359     RX 4b  ECHO 'K'
00:58:26   15.757     RX 20  ECHO ' '
00:58:26   15.837     RX c4  STATUS BUSY
00:58:26   15.837     RX c0  STATUS idle
01:00:06  116.396     RX c6  STATUS BUSY|BREAKIN
01:00:08  118.405     RX 23  ECHO '#'
01:00:09  118.803     RX 20  ECHO ' '
01:00:09  118.882     RX c4  STATUS BUSY
01:00:09  118.898     RX c0  STATUS idle
01:00:10  120.004  ===== PHASE B (120-240 s): keyer sends TEST at 12 WPM; squeeze paddle to break in =====
01:00:10  120.004  TX 02 0c   # 12 WPM
01:00:10  120.031  TX 54 45 53 54 20   # text
01:00:10  120.083     RX c4  STATUS BUSY
01:00:10  120.460     RX 54  ECHO 'T'
01:00:11  120.859     RX 45  ECHO 'E'
01:00:12  121.656     RX 53  ECHO 'S'
01:00:12  122.261     RX 54  ECHO 'T'
01:00:12  122.357     RX c6  STATUS BUSY|BREAKIN
01:00:16  126.088  TX 54 45 53 54 20   # text
01:00:17  126.581     RX 23  ECHO '#'
01:00:17  127.075     RX 20  ECHO ' '
01:00:17  127.170     RX c4  STATUS BUSY
01:00:17  127.186     RX c0  STATUS idle
01:00:22  132.144  TX 54 45 53 54 20   # text
01:00:22  132.196     RX c4  STATUS BUSY
01:00:23  132.574     RX 54  ECHO 'T'
01:00:23  132.974     RX 45  ECHO 'E'
01:00:24  133.769     RX 53  ECHO 'S'
01:00:24  134.280     RX c6  STATUS BUSY|BREAKIN
01:00:24  134.375     RX 54  ECHO 'T'
01:00:27  136.479     RX 3b  ECHO ';'
01:00:27  136.989     RX 20  ECHO ' '
01:00:27  137.085     RX c4  STATUS BUSY
01:00:27  137.085     RX c0  STATUS idle
01:00:28  138.197  TX 54 45 53 54 20   # text
01:00:28  138.248     RX c4  STATUS BUSY
01:00:29  138.631     RX 54  ECHO 'T'
01:00:29  139.029     RX 45  ECHO 'E'
01:00:30  139.826     RX 53  ECHO 'S'
01:00:30  140.432     RX 54  ECHO 'T'
01:00:31  140.830     RX c6  STATUS BUSY|BREAKIN
01:00:31  141.022     RX 20  ECHO ' '
01:00:32  141.930     RX 4d  ECHO 'M'
01:00:32  142.424     RX 20  ECHO ' '
01:00:33  142.536     RX c4  STATUS BUSY
01:00:33  142.536     RX c0  STATUS idle
01:00:34  144.249  TX 54 45 53 54 20   # text
01:00:34  144.299     RX c4  STATUS BUSY
01:00:35  144.672     RX 54  ECHO 'T'
01:00:35  145.070     RX 45  ECHO 'E'
01:00:35  145.102     RX c6  STATUS BUSY|BREAKIN
01:00:37  146.983     RX 23  ECHO '#'
01:00:38  147.477     RX 20  ECHO ' '
01:00:38  147.588     RX c4  STATUS BUSY
01:00:38  147.589     RX c0  STATUS idle
01:00:40  150.305  TX 54 45 53 54 20   # text
01:00:40  150.356     RX c4  STATUS BUSY
01:00:41  150.729     RX 54  ECHO 'T'
01:00:41  151.143     RX 45  ECHO 'E'
01:00:42  151.940     RX 53  ECHO 'S'
01:00:42  152.067     RX c6  STATUS BUSY|BREAKIN
01:00:43  153.438     RX 21  ECHO '!'
01:00:44  153.948     RX 20  ECHO ' '
01:00:44  154.044     RX c4  STATUS BUSY
01:00:44  154.044     RX c0  STATUS idle
01:00:46  156.359  TX 54 45 53 54 20   # text
01:00:46  156.410     RX c4  STATUS BUSY
01:00:47  156.785     RX 54  ECHO 'T'
01:00:47  157.184     RX 45  ECHO 'E'
01:00:48  157.996     RX 53  ECHO 'S'
01:00:49  158.586     RX 54  ECHO 'T'
01:00:49  159.192     RX 20  ECHO ' '
01:00:49  159.208     RX c0  STATUS idle
01:00:52  162.416  TX 54 45 53 54 20   # text
01:00:53  162.468     RX c4  STATUS BUSY
01:00:53  162.842     RX 54  ECHO 'T'
01:00:53  163.241     RX 45  ECHO 'E'
01:00:54  164.006     RX c6  STATUS BUSY|BREAKIN
01:00:54  164.054     RX 53  ECHO 'S'
01:00:56  165.552     RX 4f  ECHO 'O'
01:00:56  166.046     RX 20  ECHO ' '
01:00:56  166.158     RX c4  STATUS BUSY
01:00:56  166.158     RX c0  STATUS idle
01:00:59  168.474  TX 54 45 53 54 20   # text
01:00:59  168.525     RX c4  STATUS BUSY
01:00:59  168.899     RX 54  ECHO 'T'
01:00:59  169.298     RX 45  ECHO 'E'
01:01:00  169.855     RX c6  STATUS BUSY|BREAKIN
01:01:00  169.903     RX 53  ECHO 'S'
01:01:01  170.604     RX 54  ECHO 'T'
01:01:01  171.114     RX 20  ECHO ' '
01:01:01  171.210     RX c4  STATUS BUSY
01:01:01  171.210     RX c0  STATUS idle
01:01:03  172.852     RX c6  STATUS BUSY|BREAKIN
01:01:03  173.362     RX 54  ECHO 'T'
01:01:04  173.697     RX 45  ECHO 'E'
01:01:04  174.239     RX 49  ECHO 'I'
01:01:05  174.529  TX 54 45 53 54 20   # text
01:01:05  174.940     RX 54  ECHO 'T'
01:01:05  175.450     RX 20  ECHO ' '
01:01:06  175.546     RX c4  STATUS BUSY
01:01:06  175.546     RX c0  STATUS idle
01:01:06  175.896     RX c6  STATUS BUSY|BREAKIN
01:01:06  176.390     RX 54  ECHO 'T'
01:01:07  176.901     RX 20  ECHO ' '
01:01:07  176.996     RX c4  STATUS BUSY
01:01:07  176.996     RX c0  STATUS idle
01:01:11  180.582  TX 54 45 53 54 20   # text
01:01:11  180.634     RX c4  STATUS BUSY
01:01:11  181.012     RX 54  ECHO 'T'
01:01:11  181.044     RX c6  STATUS BUSY|BREAKIN
01:01:12  181.970     RX 4e  ECHO 'N'
01:01:13  182.543     RX 49  ECHO 'I'
01:01:13  183.372     RX 54  ECHO 'T'
01:01:14  183.865     RX 20  ECHO ' '
01:01:14  183.961     RX c4  STATUS BUSY
01:01:14  183.977     RX c0  STATUS idle
01:01:17  186.635  TX 54 45 53 54 20   # text
01:01:17  186.687     RX c4  STATUS BUSY
01:01:17  187.069     RX 54  ECHO 'T'
01:01:18  187.468     RX 45  ECHO 'E'
01:01:18  188.265     RX 53  ECHO 'S'
01:01:19  188.870     RX 54  ECHO 'T'
01:01:20  189.476     RX 20  ECHO ' '
01:01:20  189.476     RX c0  STATUS idle
01:01:22  191.691     RX c6  STATUS BUSY|BREAKIN
01:01:23  192.687  TX 54 45 53 54 20   # text
01:01:23  193.190     RX 2b  ECHO '+'
01:01:24  193.700     RX 20  ECHO ' '
01:01:24  193.795     RX c4  STATUS BUSY
01:01:24  193.811     RX c0  STATUS idle
01:01:29  198.741  TX 54 45 53 54 20   # text
01:01:29  198.792     RX c4  STATUS BUSY
01:01:29  199.135     RX c6  STATUS BUSY|BREAKIN
01:01:29  199.167     RX 54  ECHO 'T'
01:01:31  200.681     RX 21  ECHO '!'
01:01:31  201.175     RX 20  ECHO ' '
01:01:31  201.271     RX c4  STATUS BUSY
01:01:31  201.287     RX c0  STATUS idle
01:01:35  204.793  TX 54 45 53 54 20   # text
01:01:35  204.843     RX c4  STATUS BUSY
01:01:35  205.223     RX 54  ECHO 'T'
01:01:36  205.622     RX 45  ECHO 'E'
01:01:36  206.419     RX 53  ECHO 'S'
01:01:37  207.025     RX 54  ECHO 'T'
01:01:38  207.630     RX 20  ECHO ' '
01:01:38  207.630     RX c0  STATUS idle
01:01:41  210.845  TX 54 45 53 54 20   # text
01:01:41  210.896     RX c4  STATUS BUSY
01:01:41  211.280     RX 54  ECHO 'T'
01:01:42  211.679     RX 45  ECHO 'E'
01:01:43  212.476     RX 53  ECHO 'S'
01:01:43  213.081     RX 54  ECHO 'T'
01:01:44  213.671     RX 20  ECHO ' '
01:01:44  213.687     RX c0  STATUS idle
01:01:47  216.897  TX 54 45 53 54 20   # text
01:01:47  216.949     RX c4  STATUS BUSY
01:01:47  217.321     RX 54  ECHO 'T'
01:01:48  217.720     RX 45  ECHO 'E'
01:01:49  218.533     RX 53  ECHO 'S'
01:01:49  219.138     RX 54  ECHO 'T'
01:01:50  219.728     RX 20  ECHO ' '
01:01:50  219.744     RX c0  STATUS idle
01:01:53  222.955  TX 54 45 53 54 20   # text
01:01:53  223.006     RX c4  STATUS BUSY
01:01:53  223.378     RX 54  ECHO 'T'
01:01:54  223.793     RX 45  ECHO 'E'
01:01:55  224.590     RX 53  ECHO 'S'
01:01:55  225.195     RX 54  ECHO 'T'
01:01:56  225.785     RX 20  ECHO ' '
01:01:56  225.801     RX c0  STATUS idle
01:01:59  229.010  TX 54 45 53 54 20   # text
01:01:59  229.060     RX c4  STATUS BUSY
01:01:59  229.435     RX 54  ECHO 'T'
01:02:00  229.833     RX 45  ECHO 'E'
01:02:01  230.646     RX 53  ECHO 'S'
01:02:01  231.236     RX 54  ECHO 'T'
01:02:02  231.842     RX 20  ECHO ' '
01:02:02  231.858     RX c0  STATUS idle
01:02:05  235.062  TX 54 45 53 54 20   # text
01:02:05  235.113     RX c4  STATUS BUSY
01:02:06  235.492     RX 54  ECHO 'T'
01:02:06  235.890     RX 45  ECHO 'E'
01:02:07  236.687     RX 53  ECHO 'S'
01:02:07  237.293     RX 54  ECHO 'T'
01:02:08  237.899     RX 20  ECHO ' '
01:02:08  237.899     RX c0  STATUS idle
01:02:10  240.006  TX 0a   # clear buffer
01:02:12  241.523  TX 00 03   # host close
01:02:12  242.051  closed
