01:17:06    0.032  TX 00 02   # host open
01:19:29  142.506     RX 82  POT 2
01:19:29  142.534     RX 83  POT 3
01:19:29  142.635     RX 85  POT 5
01:19:29  142.738     RX 87  POT 7
01:19:29  142.751     RX 89  POT 9
01:19:29  142.942     RX 8b  POT 11
01:19:29  143.083     RX 8d  POT 13
01:19:29  143.121     RX 8f  POT 15
01:19:29  143.142     RX 92  POT 18
01:19:29  143.163     RX 95  POT 21
01:19:29  143.213     RX 97  POT 23
01:19:29  143.255     RX 99  POT 25
01:19:29  143.340     RX 9a  POT 26
01:19:29  143.388     RX 9b  POT 27
01:19:29  143.398     RX 9c  POT 28
01:19:30  143.512     RX 9d  POT 29
01:19:30  143.782     RX 9c  POT 28
01:19:30  143.799     RX 9a  POT 26
01:19:30  143.923     RX 98  POT 24
01:19:30  143.947     RX 96  POT 22
01:19:30  144.008     RX 94  POT 20
01:19:30  144.012     RX 92  POT 18
01:19:30  144.024  TX 54 45 53 54 20   # text
01:19:30  144.056     RX 90  POT 16
01:19:30  144.128     RX 8f  POT 15
01:19:30  144.176     RX 8e  POT 14
01:19:30  144.219     RX 8d  POT 13
01:19:30  144.332     RX 54  ECHO 'T'
01:19:30  144.346     RX 45  ECHO 'E'
01:19:30  144.375     RX 53  ECHO 'S'
01:19:30  144.432     RX 54  ECHO 'T'
01:19:31  144.459     RX c4  STATUS BUSY
01:19:31  144.478     RX 8c  POT 12
01:19:31  144.615     RX 8b  POT 11
01:19:31  144.830     RX 20  ECHO ' '
01:19:31  144.848     RX c0  STATUS idle
01:19:31  145.130     RX c6  STATUS BUSY|BREAKIN
01:19:32  145.853     RX 2b  ECHO '+'
01:19:32  146.051     RX 20  ECHO ' '
01:19:32  146.269     RX c0  STATUS idle
01:19:36  150.027  TX 54 45 53 54 20   # text
01:19:36  150.052     RX 54  ECHO 'T'
01:19:36  150.056     RX 45  ECHO 'E'
01:19:36  150.059     RX 53  ECHO 'S'
01:19:36  150.070     RX 54  ECHO 'T'
01:19:36  150.078     RX c4  STATUS BUSY
01:19:37  150.480     RX 20  ECHO ' '
01:19:37  150.495     RX c0  STATUS idle
01:19:37  150.784     RX c6  STATUS BUSY|BREAKIN
01:19:37  150.930     RX 45  ECHO 'E'
01:19:37  151.105     RX 20  ECHO ' '
01:19:37  151.327     RX c0  STATUS idle
01:19:42  156.032  TX 54 45 53 54 20   # text
01:19:42  156.051     RX 54  ECHO 'T'
01:19:42  156.093     RX 45  ECHO 'E'
01:19:42  156.102     RX 53  ECHO 'S'
01:19:42  156.130     RX 54  ECHO 'T'
01:19:42  156.139     RX c4  STATUS BUSY
01:19:43  156.489     RX c6  STATUS BUSY|BREAKIN
01:19:43  156.815     RX 54  ECHO 'T'
01:19:43  156.935     RX 20  ECHO ' '
01:19:43  157.163     RX c4  STATUS BUSY
01:19:44  157.670     RX c0  STATUS idle
01:19:48  162.033  TX 54 45 53 54 20   # text
01:19:48  162.059     RX c4  STATUS BUSY
01:19:49  162.478     RX 54  ECHO 'T'
01:19:49  162.486     RX 45  ECHO 'E'
01:19:49  162.514     RX 53  ECHO 'S'
01:19:49  162.540     RX 54  ECHO 'T'
01:19:49  162.555     RX 20  ECHO ' '
01:19:49  162.559     RX c0  STATUS idle
01:19:49  163.232     RX c6  STATUS BUSY|BREAKIN
01:19:50  163.589     RX 54  ECHO 'T'
01:19:50  163.765     RX 20  ECHO ' '
01:19:50  163.965     RX c0  STATUS idle
01:19:54  168.036  TX 54 45 53 54 20   # text
01:19:54  168.077     RX 54  ECHO 'T'
01:19:54  168.081     RX 45  ECHO 'E'
01:19:54  168.088     RX 53  ECHO 'S'
01:19:54  168.088     RX 54  ECHO 'T'
01:19:54  168.095     RX c4  STATUS BUSY
01:19:55  168.532     RX 20  ECHO ' '
01:19:55  168.576     RX c0  STATUS idle
01:19:55  168.887     RX c6  STATUS BUSY|BREAKIN
01:19:55  169.097     RX 45  ECHO 'E'
01:19:55  169.273     RX 20  ECHO ' '
01:19:56  169.494     RX c0  STATUS idle
01:19:58  172.379     RX 8a  POT 10
01:19:59  172.516     RX 89  POT 9
01:19:59  172.584     RX 88  POT 8
01:19:59  172.629     RX 87  POT 7
01:19:59  172.713     RX 86  POT 6
01:19:59  172.912     RX 85  POT 5
01:19:59  173.082     RX 86  POT 6
01:19:59  173.227     RX 87  POT 7
01:20:00  174.041  TX 54 45 53 54 20   # text
01:20:00  174.072     RX 54  ECHO 'T'
01:20:00  174.108     RX 45  ECHO 'E'
01:20:00  174.114     RX 53  ECHO 'S'
01:20:00  174.117     RX 54  ECHO 'T'
01:20:00  174.124     RX c4  STATUS BUSY
01:20:01  174.568     RX 20  ECHO ' '
01:20:01  174.569     RX c0  STATUS idle
01:20:04  178.148     RX c6  STATUS BUSY|BREAKIN
01:20:05  178.464     RX 45  ECHO 'E'
01:20:05  178.627     RX 20  ECHO ' '
01:20:05  178.934     RX c0  STATUS idle
01:20:06  180.043  TX 54 45 53 54 20   # text
01:20:06  180.167     RX 54  ECHO 'T'
01:20:06  180.200     RX 45  ECHO 'E'
01:20:06  180.248     RX 53  ECHO 'S'
01:20:06  180.251     RX 54  ECHO 'T'
01:20:06  180.276     RX c4  STATUS BUSY
01:20:07  180.676     RX 20  ECHO ' '
01:20:07  180.688     RX c0  STATUS idle
01:20:12  186.044  TX 54 45 53 54 20   # text
01:20:12  186.110     RX 54  ECHO 'T'
01:20:12  186.118     RX 45  ECHO 'E'
01:20:12  186.140     RX 53  ECHO 'S'
01:20:12  186.176     RX 54  ECHO 'T'
01:20:12  186.188     RX c4  STATUS BUSY
01:20:13  186.663     RX 20  ECHO ' '
01:20:13  186.667     RX c0  STATUS idle
01:20:15  189.430     RX c6  STATUS BUSY|BREAKIN
01:20:16  189.876     RX 54  ECHO 'T'
01:20:16  190.253     RX 49  ECHO 'I'
01:20:16  190.405     RX 20  ECHO ' '
01:20:17  190.734     RX c0  STATUS idle
01:20:18  192.047  TX 54 45 53 54 20   # text
01:20:18  192.075     RX 54  ECHO 'T'
01:20:18  192.108     RX 45  ECHO 'E'
01:20:18  192.135     RX 53  ECHO 'S'
01:20:18  192.137     RX 54  ECHO 'T'
01:20:18  192.147     RX c4  STATUS BUSY
01:20:19  192.571     RX 20  ECHO ' '
01:20:19  192.578     RX c0  STATUS idle
01:20:22  195.448     RX c6  STATUS BUSY|BREAKIN
01:20:22  196.144     RX 52  ECHO 'R'
01:20:22  196.358     RX 20  ECHO ' '
01:20:23  196.643     RX c0  STATUS idle
01:20:24  198.051  TX 54 45 53 54 20   # text
01:20:24  198.093     RX 54  ECHO 'T'
01:20:24  198.124     RX 45  ECHO 'E'
01:20:24  198.188     RX 53  ECHO 'S'
01:20:24  198.219     RX 54  ECHO 'T'
01:20:24  198.222     RX c4  STATUS BUSY
01:20:25  198.637     RX 20  ECHO ' '
01:20:25  198.641     RX c0  STATUS idle
01:20:26  199.914     RX c6  STATUS BUSY|BREAKIN
01:20:26  200.263     RX 54  ECHO 'T'
01:20:27  200.464     RX 20  ECHO ' '
01:20:27  200.781     RX c0  STATUS idle
01:20:30  204.054  TX 54 45 53 54 20   # text
01:20:30  204.121     RX 54  ECHO 'T'
01:20:30  204.157     RX 45  ECHO 'E'
01:20:30  204.212     RX 53  ECHO 'S'
01:20:30  204.215     RX 54  ECHO 'T'
01:20:30  204.226     RX c4  STATUS BUSY
01:20:31  204.637     RX 20  ECHO ' '
01:20:31  204.637     RX c0  STATUS idle
01:20:31  205.243     RX c6  STATUS BUSY|BREAKIN
01:20:32  205.684     RX 54  ECHO 'T'
01:20:32  205.874     RX 20  ECHO ' '
01:20:32  206.158     RX c0  STATUS idle
01:20:36  210.057  TX 54 45 53 54 20   # text
01:20:36  210.091     RX 54  ECHO 'T'
01:20:36  210.098     RX 45  ECHO 'E'
01:20:36  210.113     RX 53  ECHO 'S'
01:20:36  210.140     RX 54  ECHO 'T'
01:20:36  210.151     RX c4  STATUS BUSY
01:20:37  210.584     RX 20  ECHO ' '
01:20:37  210.592     RX c0  STATUS idle
01:20:38  211.828     RX c6  STATUS BUSY|BREAKIN
01:20:38  212.259     RX 54  ECHO 'T'
01:20:39  212.469     RX 20  ECHO ' '
01:20:39  212.760     RX c0  STATUS idle
01:20:42  216.062  TX 54 45 53 54 20   # text
01:20:42  216.208     RX 54  ECHO 'T'
01:20:42  216.221     RX 45  ECHO 'E'
01:20:42  216.224     RX 53  ECHO 'S'
01:20:42  216.227     RX 54  ECHO 'T'
01:20:42  216.229     RX c4  STATUS BUSY
01:20:43  216.746     RX c6  STATUS BUSY|BREAKIN
01:20:43  217.033     RX 45  ECHO 'E'
01:20:43  217.153     RX 20  ECHO ' '
01:20:44  217.549     RX c4  STATUS BUSY
01:20:44  217.886     RX c0  STATUS idle
01:20:48  222.063  TX 54 45 53 54 20   # text
01:20:48  222.103     RX c4  STATUS BUSY
01:20:48  222.391     RX c6  STATUS BUSY|BREAKIN
01:20:49  222.795     RX 49  ECHO 'I'
01:20:49  222.982     RX 20  ECHO ' '
01:20:49  223.255     RX c4  STATUS BUSY
01:20:50  223.575     RX c0  STATUS idle
01:20:50  224.203     RX 88  POT 8
01:20:50  224.340     RX 89  POT 9
01:20:50  224.397     RX 8a  POT 10
01:20:51  224.485     RX 8b  POT 11
01:20:51  224.521     RX 8c  POT 12
01:20:51  224.604     RX 8d  POT 13
01:20:51  224.648     RX 8e  POT 14
01:20:51  224.694     RX 8f  POT 15
01:20:51  224.848     RX 90  POT 16
01:20:51  224.918     RX 91  POT 17
01:20:54  228.068  TX 54 45 53 54 20   # text
01:20:54  228.089     RX c4  STATUS BUSY
01:20:55  228.496     RX 54  ECHO 'T'
01:20:55  228.504     RX 45  ECHO 'E'
01:20:55  228.504     RX 53  ECHO 'S'
01:20:55  228.509     RX 54  ECHO 'T'
01:20:55  228.512     RX 20  ECHO ' '
01:20:55  228.523     RX c0  STATUS idle
01:20:55  228.538     RX c6  STATUS BUSY|BREAKIN
01:20:55  228.681     RX 45  ECHO 'E'
01:20:55  228.823     RX 20  ECHO ' '
01:20:55  229.020     RX c0  STATUS idle
01:20:59  232.893     RX c6  STATUS BUSY|BREAKIN
01:20:59  233.162     RX 54  ECHO 'T'
01:20:59  233.315     RX 20  ECHO ' '
01:21:00  233.497     RX c0  STATUS idle
01:21:00  234.071  TX 54 45 53 54 20   # text
01:21:00  234.153     RX 54  ECHO 'T'
01:21:00  234.167     RX 45  ECHO 'E'
01:21:00  234.176     RX 53  ECHO 'S'
01:21:00  234.180     RX 54  ECHO 'T'
01:21:00  234.186     RX c4  STATUS BUSY
01:21:01  234.480     RX 20  ECHO ' '
01:21:01  234.486     RX c0  STATUS idle
01:21:01  235.265     RX c6  STATUS BUSY|BREAKIN
01:21:02  235.558     RX 54  ECHO 'T'
01:21:02  235.692     RX 20  ECHO ' '
01:21:02  235.890     RX c0  STATUS idle
01:21:06  240.002  TX 0a   # clear buffer
01:21:08  241.506  TX 00 03   # host close
01:21:08  242.012  closed
